Id,source,SalePrice,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath
40,train,82000.0,0,TA,TA,AsbShng,Plywood,,,0,PConc,2,Typ,0.0,0.0,,,,,,1152,0
41,train,160000.0,0,TA,TA,Wd Sdng,Wd Sdng,GdWo,TA,1,CBlock,2,Typ,440.0,2.0,TA,RFn,TA,Attchd,1965.0,1324,0
42,train,170000.0,0,Gd,TA,VinylSd,VinylSd,,Gd,2,CBlock,1,Typ,308.0,1.0,TA,RFn,TA,Attchd,1959.0,1328,1
43,train,144000.0,0,TA,TA,HdBoard,HdBoard,MnPrv,,0,CBlock,1,Typ,504.0,2.0,Gd,RFn,TA,Attchd,1983.0,884,0
44,train,130250.0,0,TA,TA,VinylSd,VinylSd,MnPrv,,0,CBlock,1,Typ,308.0,1.0,TA,Unf,TA,Detchd,1977.0,938,0
45,train,141000.0,0,TA,TA,BrkFace,Wd Sdng,,,0,CBlock,1,Typ,300.0,1.0,TA,RFn,TA,Attchd,1959.0,1150,0
46,train,319900.0,0,TA,Ex,MetalSd,MetalSd,,Gd,1,PConc,2,Typ,576.0,2.0,TA,RFn,TA,Attchd,2005.0,1752,0
47,train,239686.0,0,TA,Gd,VinylSd,VinylSd,,Ex,1,PConc,1,Typ,670.0,2.0,TA,RFn,TA,Attchd,2003.0,2149,1
48,train,249700.0,0,TA,Gd,VinylSd,VinylSd,,,0,PConc,2,Typ,826.0,3.0,TA,RFn,TA,Attchd,2006.0,1656,0
49,train,113000.0,102,TA,TA,MetalSd,MetalSd,,,0,BrkTil,2,Typ,0.0,0.0,,,,,,1452,0
50,train,127000.0,0,TA,TA,HdBoard,HdBoard,MnPrv,,0,CBlock,1,Typ,386.0,1.0,TA,Unf,TA,Attchd,1966.0,955,0
51,train,177000.0,0,TA,TA,VinylSd,VinylSd,,,0,PConc,2,Typ,388.0,2.0,TA,Fin,TA,Attchd,1997.0,1470,0
52,train,114500.0,0,TA,TA,Wd Sdng,Wd Sdng,MnPrv,Gd,1,PConc,1,Typ,528.0,2.0,TA,Unf,TA,Detchd,1985.0,1176,0
53,train,110000.0,0,TA,Fa,Wd Sdng,Wd Sdng,,,0,CBlock,1,Typ,516.0,2.0,TA,Unf,TA,CarPort,1963.0,816,0
54,train,385000.0,0,TA,Gd,WdShing,Wd Shng,,Gd,1,CBlock,0,Typ,894.0,3.0,TA,Fin,TA,Attchd,1981.0,1842,1
55,train,130000.0,0,TA,TA,MetalSd,MetalSd,MnPrv,TA,1,CBlock,1,Min1,572.0,2.0,TA,Unf,TA,Detchd,1962.0,1360,0
56,train,180500.0,0,TA,TA,HdBoard,Plywood,,Gd,1,CBlock,2,Typ,576.0,2.0,TA,RFn,TA,Attchd,1964.0,1425,0
57,train,172500.0,0,TA,Gd,MetalSd,MetalSd,,,0,PConc,2,Typ,480.0,2.0,TA,Fin,TA,Attchd,1999.0,1739,1
58,train,196500.0,0,TA,Gd,VinylSd,VinylSd,,,0,PConc,2,Typ,565.0,2.0,TA,RFn,TA,Attchd,2004.0,1720,1
59,train,438780.0,37,TA,Ex,VinylSd,VinylSd,,Gd,1,PConc,3,Typ,641.0,3.0,TA,Fin,TA,BuiltIn,2006.0,2945,1
60,train,124900.0,0,TA,TA,HdBoard,HdBoard,MnPrv,,0,CBlock,1,Typ,352.0,1.0,TA,Unf,TA,Detchd,1973.0,780,0
61,train,158000.0,0,TA,TA,VinylSd,VinylSd,,,0,PConc,1,Typ,576.0,2.0,TA,Unf,TA,Detchd,2006.0,1158,1
62,train,101000.0,144,TA,TA,MetalSd,MetalSd,,,0,BrkTil,1,Typ,288.0,1.0,TA,Unf,TA,Detchd,1935.0,1111,0
63,train,202500.0,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,484.0,2.0,TA,RFn,TA,Attchd,2006.0,1370,0
64,train,140000.0,64,TA,TA,Stucco,Stucco,GdPrv,,0,BrkTil,2,Typ,480.0,2.0,TA,Unf,TA,Detchd,1990.0,1710,0
65,train,219500.0,0,TA,TA,VinylSd,VinylSd,GdPrv,,0,PConc,2,Typ,645.0,2.0,TA,RFn,TA,Attchd,1998.0,2034,1
66,train,317000.0,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,852.0,3.0,TA,RFn,TA,BuiltIn,2004.0,2473,1
67,train,180000.0,0,TA,TA,Plywood,Plywood,,Gd,1,CBlock,2,Min1,576.0,2.0,TA,RFn,TA,Attchd,1970.0,2207,0
68,train,226000.0,0,TA,Gd,VinylSd,VinylSd,,,0,PConc,2,Typ,558.0,2.0,TA,RFn,TA,Attchd,2003.0,1479,0
69,train,80000.0,0,Gd,TA,MetalSd,MetalSd,,,0,CBlock,1,Typ,220.0,1.0,TA,Unf,TA,Attchd,1945.0,747,0
70,train,225000.0,114,TA,Gd,BrkFace,AsbShng,,TA,1,CBlock,2,Typ,667.0,2.0,TA,Fin,TA,Attchd,1953.0,2287,0
71,train,244000.0,0,Gd,TA,Plywood,Plywood,,Gd,2,CBlock,2,Typ,516.0,2.0,TA,Fin,TA,Attchd,1973.0,2223,0
72,train,129500.0,0,TA,TA,HdBoard,Plywood,,,0,CBlock,1,Typ,360.0,2.0,TA,Unf,TA,Detchd,1987.0,845,0
73,train,185000.0,0,TA,TA,VinylSd,VinylSd,,TA,1,PConc,2,Typ,427.0,2.0,TA,Fin,TA,Attchd,1998.0,1718,1
74,train,144900.0,0,TA,TA,Wd Sdng,Wd Sdng,GdWo,,0,CBlock,1,Typ,490.0,2.0,TA,Unf,TA,Attchd,1989.0,1086,0
75,train,107400.0,202,Gd,Gd,VinylSd,VinylSd,,,0,CBlock,2,Typ,379.0,1.0,TA,Unf,TA,Detchd,1915.0,1605,0
76,train,91000.0,0,TA,TA,CemntBd,CmentBd,GdWo,,0,CBlock,1,Typ,297.0,1.0,TA,Unf,TA,BuiltIn,1973.0,988,0
77,train,135750.0,0,TA,TA,VinylSd,VinylSd,,,0,CBlock,1,Typ,283.0,1.0,TA,Unf,TA,Detchd,1956.0,952,0
78,train,127000.0,0,TA,TA,Wd Sdng,Wd Sdng,MnPrv,,0,CBlock,1,Min1,240.0,1.0,TA,Unf,TA,Detchd,1948.0,1285,0
79,train,136500.0,0,TA,TA,HdBoard,HdBoard,,,0,CBlock,2,Typ,0.0,0.0,,,,,,1768,0
80,train,110000.0,128,TA,TA,Wd Sdng,Wd Sdng,MnPrv,,0,PConc,1,Typ,440.0,2.0,TA,Unf,TA,Detchd,1966.0,1230,1
81,train,193500.0,0,Gd,TA,VinylSd,VinylSd,,Gd,1,CBlock,2,Typ,509.0,1.0,TA,Fin,TA,Attchd,1968.0,2142,1
82,train,153500.0,0,Gd,TA,VinylSd,VinylSd,,,0,PConc,2,Typ,405.0,2.0,TA,Fin,TA,Attchd,1998.0,1337,0
83,train,245000.0,0,TA,TA,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,758.0,3.0,TA,RFn,TA,Attchd,2007.0,1563,0
84,train,126500.0,0,TA,TA,MetalSd,MetalSd,,,0,CBlock,1,Typ,461.0,2.0,TA,Unf,TA,Detchd,1974.0,1065,1
85,train,168500.0,0,TA,TA,HdBoard,HdBoard,,TA,1,PConc,2,Typ,400.0,2.0,TA,Fin,TA,BuiltIn,1995.0,1474,1
86,train,260000.0,0,TA,Gd,HdBoard,HdBoard,,TA,1,CBlock,2,Typ,462.0,2.0,TA,Unf,TA,Attchd,1991.0,2417,1
87,train,174000.0,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,400.0,2.0,TA,Fin,TA,BuiltIn,2005.0,1560,1
88,train,164500.0,0,TA,Gd,VinylSd,VinylSd,,,0,PConc,2,Typ,528.0,2.0,TA,RFn,TA,Detchd,2009.0,1224,1
89,train,85000.0,156,Fa,Fa,Plywood,Plywood,MnPrv,,0,CBlock,1,Typ,0.0,0.0,,,,,,1526,0
90,train,123600.0,0,TA,TA,VinylSd,VinylSd,,,0,PConc,1,Typ,0.0,0.0,,,,,,990,0
91,train,109900.0,0,TA,TA,BrkFace,Wd Sdng,,,0,Slab,1,Typ,420.0,2.0,TA,Unf,TA,Detchd,1950.0,1040,0
92,train,98600.0,0,TA,TA,HdBoard,HdBoard,GdWo,,0,CBlock,1,Typ,480.0,2.0,TA,Unf,TA,Attchd,1961.0,1235,0
93,train,163500.0,44,Gd,TA,Wd Sdng,Wd Sdng,,,0,BrkTil,1,Typ,432.0,2.0,TA,Unf,TA,Detchd,1921.0,964,0
94,train,133900.0,0,TA,TA,MetalSd,MetalSd,,Gd,1,BrkTil,2,Typ,506.0,2.0,TA,Unf,TA,Detchd,1900.0,2291,0
95,train,204750.0,0,Gd,TA,VinylSd,VinylSd,,,0,PConc,2,Typ,684.0,2.0,TA,RFn,TA,Attchd,1997.0,1786,1
96,train,185000.0,0,Gd,Ex,VinylSd,VinylSd,,TA,1,PConc,2,Typ,420.0,2.0,TA,Fin,TA,BuiltIn,1993.0,1470,1
97,train,214000.0,0,TA,Gd,VinylSd,VinylSd,,,0,PConc,2,Typ,472.0,2.0,TA,RFn,TA,Attchd,1999.0,1588,0
98,train,94750.0,0,TA,TA,HdBoard,HdBoard,,,0,CBlock,1,Typ,432.0,1.0,TA,Fin,TA,Attchd,1965.0,960,0
99,train,83000.0,77,TA,TA,Wd Sdng,Wd Sdng,,,0,BrkTil,1,Typ,366.0,1.0,TA,Unf,Fa,Basment,1920.0,835,0
100,train,128950.0,0,TA,TA,Plywood,Plywood,,,0,CBlock,1,Typ,0.0,0.0,,,,,,1225,1
101,train,205000.0,0,TA,TA,Plywood,Plywood,,TA,2,PConc,2,Typ,480.0,2.0,TA,RFn,TA,Attchd,1977.0,1610,0
102,train,178000.0,0,TA,Gd,HdBoard,HdBoard,,TA,1,CBlock,2,Typ,476.0,2.0,TA,Fin,TA,Attchd,1985.0,1732,1
103,train,118964.0,0,Fa,TA,HdBoard,HdBoard,,,0,Slab,2,Typ,410.0,2.0,TA,Unf,TA,Attchd,1979.0,1535,0
104,train,198900.0,0,TA,TA,VinylSd,VinylSd,,,0,PConc,2,Typ,740.0,3.0,TA,RFn,TA,Attchd,2009.0,1226,0
105,train,169500.0,0,Fa,TA,Stucco,Stucco,,TA,2,PConc,1,Typ,240.0,1.0,TA,Unf,TA,Detchd,1951.0,1818,1
106,train,250000.0,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,648.0,2.0,TA,RFn,TA,Attchd,2003.0,1992,1
107,train,100000.0,0,TA,TA,VinylSd,VinylSd,,,0,BrkTil,1,Typ,273.0,1.0,Fa,Unf,Fa,Detchd,1954.0,1047,0
108,train,115000.0,0,TA,TA,VinylSd,VinylSd,,,0,CBlock,1,Typ,250.0,1.0,TA,Unf,TA,Detchd,1948.0,789,0
109,train,115000.0,144,TA,TA,CemntBd,CmentBd,,,0,CBlock,2,Typ,0.0,0.0,,,,,,1517,0
110,train,190000.0,0,TA,TA,Plywood,Plywood,MnPrv,TA,1,CBlock,2,Typ,546.0,2.0,TA,RFn,TA,Attchd,1977.0,1844,0
111,train,136900.0,0,TA,TA,Wd Sdng,Wd Sdng,,,0,CBlock,2,Typ,325.0,1.0,TA,Unf,TA,Attchd,1954.0,1855,0
112,train,180000.0,0,TA,TA,VinylSd,VinylSd,,TA,1,PConc,2,Typ,400.0,2.0,TA,Fin,TA,BuiltIn,2000.0,1430,1
113,train,383970.0,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,792.0,3.0,TA,Fin,TA,BuiltIn,2007.0,2696,1
114,train,217000.0,192,Gd,TA,Wd Sdng,Wd Sdng,MnPrv,Gd,2,CBlock,2,Typ,450.0,2.0,TA,Unf,TA,Basment,1953.0,2259,0
115,train,259500.0,0,TA,TA,Wd Sdng,Wd Sdng,MnPrv,TA,1,CBlock,2,Typ,180.0,1.0,TA,Unf,TA,Detchd,1945.0,2320,1
116,train,176000.0,0,TA,TA,MetalSd,MetalSd,,Fa,1,PConc,2,Typ,440.0,2.0,TA,Unf,TA,Detchd,1999.0,1458,1
117,train,139000.0,144,TA,TA,Wd Sdng,Wd Sdng,,Po,1,CBlock,1,Typ,288.0,1.0,TA,Unf,TA,Attchd,1962.0,1092,0
118,train,155000.0,0,TA,TA,VinylSd,VinylSd,,,0,PConc,1,Typ,430.0,2.0,TA,Unf,TA,Attchd,2007.0,1125,1
119,train,320000.0,0,TA,TA,Plywood,Plywood,,TA,2,PConc,3,Typ,594.0,3.0,TA,Unf,TA,Attchd,1990.0,3222,0
120,train,163990.0,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,390.0,2.0,TA,Fin,TA,Attchd,2005.0,1456,1
121,train,180000.0,0,TA,TA,Plywood,Plywood,,TA,2,CBlock,1,Typ,540.0,2.0,TA,Unf,TA,Attchd,1969.0,988,0
122,train,100000.0,140,TA,TA,AsbShng,AsbShng,MnPrv,,0,PConc,1,Typ,264.0,1.0,TA,Unf,TA,Detchd,1979.0,1123,0
123,train,136000.0,0,Gd,TA,MetalSd,MetalSd,,,0,CBlock,1,Typ,288.0,1.0,TA,Unf,TA,Attchd,1958.0,1080,0
124,train,153900.0,0,TA,Gd,Plywood,Plywood,,,0,PConc,2,Typ,530.0,2.0,TA,RFn,TA,Attchd,1993.0,1199,0
125,train,181000.0,0,Gd,TA,HdBoard,HdBoard,,TA,1,CBlock,2,Typ,435.0,2.0,TA,Unf,TA,Attchd,1979.0,1586,0
126,train,84500.0,0,Fa,TA,Wd Sdng,Wd Sdng,,,0,CBlock,1,Typ,0.0,0.0,,,,,,754,0
127,train,128000.0,0,TA,TA,Plywood,Plywood,,TA,1,CBlock,2,Typ,440.0,2.0,TA,RFn,TA,Attchd,1977.0,958,0
128,train,87000.0,0,Gd,TA,WdShing,Wd Sdng,,TA,1,BrkTil,1,Typ,0.0,0.0,,,,,,840,0
129,train,155000.0,0,TA,TA,VinylSd,VinylSd,,Fa,1,CBlock,1,Typ,453.0,2.0,TA,RFn,TA,Attchd,1966.0,1348,1
130,train,150000.0,0,TA,TA,Plywood,Plywood,MnWw,,0,CBlock,1,Typ,750.0,2.0,TA,RFn,TA,2Types,1998.0,1053,1
131,train,226000.0,0,TA,TA,MetalSd,MetalSd,GdPrv,Gd,2,CBlock,2,Typ,487.0,2.0,TA,Fin,TA,Attchd,1966.0,2157,1
132,train,244000.0,0,TA,Gd,VinylSd,VinylSd,,TA,1,PConc,2,Typ,390.0,2.0,TA,RFn,TA,BuiltIn,2000.0,2054,1
133,train,150750.0,0,TA,TA,MetalSd,MetalSd,,,0,CBlock,1,Typ,624.0,2.0,TA,Unf,TA,Detchd,1974.0,1327,0
134,train,220000.0,0,TA,Gd,VinylSd,VinylSd,,,0,PConc,2,Typ,471.0,2.0,TA,Fin,TA,Attchd,2001.0,1296,0
135,train,180000.0,180,TA,TA,Plywood,Plywood,MnPrv,TA,1,CBlock,2,Min1,440.0,2.0,TA,RFn,TA,Attchd,1968.0,1721,1
136,train,174000.0,0,TA,TA,Plywood,Plywood,MnPrv,Gd,1,PConc,2,Typ,530.0,2.0,TA,Unf,TA,Attchd,1970.0,1682,0
137,train,143000.0,0,TA,TA,MetalSd,MetalSd,,Fa,1,CBlock,2,Typ,318.0,1.0,TA,RFn,TA,Attchd,1967.0,1214,0
138,train,171000.0,0,TA,TA,VinylSd,VinylSd,,,0,CBlock,3,Typ,766.0,3.0,TA,Unf,TA,2Types,1989.0,1959,0
139,train,230000.0,0,TA,Gd,VinylSd,VinylSd,GdPrv,TA,2,PConc,2,Typ,660.0,3.0,TA,Fin,TA,Attchd,1999.0,1852,1
140,train,231500.0,0,TA,TA,VinylSd,VinylSd,MnPrv,,0,PConc,2,Typ,470.0,2.0,TA,RFn,TA,Attchd,1997.0,1764,1
141,train,115000.0,0,TA,TA,HdBoard,HdBoard,,Po,1,CBlock,1,Typ,0.0,0.0,,,,,,864,0
142,train,260000.0,0,TA,Gd,VinylSd,VinylSd,,,0,PConc,2,Typ,660.0,2.0,TA,Fin,TA,Attchd,2005.0,1734,0
143,train,166000.0,0,Fa,TA,BrkFace,Wd Sdng,MnPrv,,0,CBlock,2,Typ,720.0,2.0,TA,Unf,TA,Detchd,2000.0,1385,0
144,train,204000.0,0,TA,Gd,VinylSd,VinylSd,,,0,PConc,2,Typ,577.0,2.0,TA,RFn,TA,Attchd,1999.0,1501,0
145,train,125000.0,0,TA,TA,HdBoard,HdBoard,,,0,CBlock,2,Typ,504.0,2.0,TA,Unf,TA,Detchd,1963.0,1728,0
146,train,130000.0,0,TA,Gd,VinylSd,VinylSd,,,0,PConc,2,Maj1,380.0,2.0,TA,Unf,TA,Detchd,2004.0,1709,0
147,train,105000.0,0,TA,TA,Wd Sdng,Wd Sdng,,,0,BrkTil,1,Typ,180.0,1.0,TA,Unf,Fa,Detchd,1931.0,875,0
148,train,222500.0,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,434.0,2.0,TA,Fin,TA,BuiltIn,2001.0,2035,1
149,train,141000.0,0,TA,TA,VinylSd,VinylSd,,,0,PConc,1,Typ,0.0,0.0,,,,,,1080,0
150,train,115000.0,0,TA,TA,MetalSd,MetalSd,,,0,BrkTil,1,Typ,240.0,1.0,TA,Unf,Fa,Detchd,1936.0,1344,0
151,train,122000.0,0,TA,TA,HdBoard,HdBoard,MnPrv,,0,CBlock,1,Typ,440.0,2.0,TA,Unf,TA,Attchd,1975.0,969,1
152,train,372402.0,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,866.0,3.0,TA,RFn,TA,Attchd,2007.0,1710,0
153,train,190000.0,0,TA,TA,HdBoard,HdBoard,GdWo,Gd,1,CBlock,2,Typ,495.0,2.0,TA,RFn,TA,Attchd,1971.0,1993,1
154,train,235000.0,0,TA,TA,BrkFace,Plywood,,Gd,1,CBlock,1,Typ,564.0,2.0,TA,RFn,TA,Attchd,1960.0,1252,0
155,train,125000.0,228,TA,TA,Wd Sdng,Wd Sdng,,,0,BrkTil,1,Typ,312.0,1.0,Fa,Unf,Fa,Detchd,1923.0,1200,0
156,train,79000.0,128,TA,TA,Wd Sdng,Wd Sdng,,,0,BrkTil,1,Typ,0.0,0.0,,,,,,1096,0
157,train,109500.0,0,TA,TA,Wd Sdng,Wd Sdng,,,0,CBlock,1,Typ,625.0,2.0,TA,Unf,TA,Detchd,1950.0,1040,0
158,train,269500.0,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,680.0,3.0,TA,Fin,TA,BuiltIn,2009.0,1968,1
159,train,254900.0,0,TA,Gd,VinylSd,VinylSd,GdWo,Gd,1,PConc,2,Typ,678.0,2.0,TA,RFn,TA,Attchd,2004.0,1947,1
160,train,320000.0,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,576.0,2.0,TA,RFn,TA,Attchd,2006.0,2462,1
161,train,162500.0,0,TA,TA,Plywood,Plywood,,,0,PConc,2,Typ,516.0,2.0,TA,Unf,TA,Attchd,1984.0,1232,0
162,train,412500.0,0,TA,Gd,VinylSd,VinylSd,,Gd,2,PConc,2,Typ,726.0,3.0,TA,Fin,TA,BuiltIn,2003.0,2668,1
163,train,220000.0,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,532.0,2.0,TA,RFn,TA,Attchd,2005.0,1541,0
164,train,103200.0,0,TA,TA,MetalSd,MetalSd,MnPrv,,0,CBlock,1,Typ,0.0,0.0,,,,,,882,0
165,train,152000.0,183,Gd,TA,MetalSd,MetalSd,,,0,BrkTil,2,Typ,216.0,1.0,TA,Unf,TA,Detchd,1926.0,1616,0
166,train,127500.0,0,Gd,TA,Wd Sdng,Wd Sdng,,,0,BrkTil,2,Typ,0.0,0.0,,,,,,1355,0
167,train,190000.0,0,TA,Gd,Wd Sdng,Wd Sdng,GdWo,Gd,3,CBlock,1,Typ,303.0,1.0,TA,Fin,TA,Attchd,1955.0,1867,0
168,train,325624.0,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,1,Typ,789.0,3.0,TA,Fin,TA,Attchd,2007.0,2161,1
169,train,183500.0,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,440.0,2.0,TA,Fin,TA,Attchd,2004.0,1720,1
170,train,228000.0,0,TA,Gd,Plywood,Plywood,,TA,1,CBlock,2,Typ,511.0,2.0,TA,RFn,TA,Attchd,1981.0,1707,1
171,train,128500.0,0,TA,TA,MetalSd,MetalSd,,,0,CBlock,1,Typ,660.0,2.0,TA,Unf,TA,Detchd,1991.0,1382,1
172,train,215000.0,0,TA,TA,BrkFace,Plywood,,Gd,2,CBlock,1,Typ,528.0,2.0,TA,Fin,TA,Attchd,1960.0,1656,0
173,train,239000.0,0,Gd,Gd,HdBoard,HdBoard,,TA,1,PConc,2,Typ,504.0,2.0,TA,RFn,Gd,Attchd,1987.0,1767,0
174,train,163000.0,0,TA,TA,WdShing,Wd Shng,,TA,1,CBlock,1,Typ,504.0,2.0,TA,Unf,TA,Attchd,1961.0,1362,1
